ERYTHROMYCIN CAPSULES 250MG K,medicine_showdetail.php?sn=A000106100
WEIFU TABLETS YUNG SHIN,medicine_showdetail.php?sn=A004220100
EAZIDE TABLETS,medicine_showdetail.php?sn=A004276100
DICLOCIL CAPSULES 2,medicine_showdetail.php?sn=A004280100
POTON CAPSULES,medicine_showdetail.php?sn=A004287100
TAWEGEN TABLETS YU,medicine_showdetail.php?sn=A004300100
ESTROMON S.C. TABLETS,medicine_showdetail.php?sn=A004423100
DEAN TABLETS 5MG 'YUNG CHI',medicine_showdetail.php?sn=A004441100
SOLIKIN CAPSULES 'YUNG SHIN',medicine_showdetail.php?sn=A004484100
FUCON TABLETS,medicine_showdetail.php?sn=A004506100
DUOCIDE TABLETS,medicine_showdetail.php?sn=A004514100
CHLORPHENIRAMINE TABLETS 'ASTAR',medicine_showdetail.php?sn=A004704100
DIABETIN TABLETS 'Y.S.',medicine_showdetail.php?sn=A004715100
PAIDERTON TABLETS,medicine_showdetail.php?sn=A004720100
CYPRO TABLETS 4MG 'F.Y.',medicine_showdetail.php?sn=A004722100
PILIAN TABLETS 'Y.S.',medicine_showdetail.php?sn=A004737100
CHISOU CAPSULES H.,medicine_showdetail.php?sn=A004739100
ECHICON TABLETS Y.,medicine_showdetail.php?sn=A004835100
NARIZIN TABLETS 'JOHNSON',medicine_showdetail.php?sn=A004899100
BAKTAR TABLETS 400M,medicine_showdetail.php?sn=A004919100
CEPHALIN CAPSULES,medicine_showdetail.php?sn=A004995100
NACID TABLETS,medicine_showdetail.php?sn=A005051100
KIDOLEX CAPSULES K,medicine_showdetail.php?sn=A005062100
PANAMAX TABLETS 500MGACETAMINOPHEN,medicine_showdetail.php?sn=A005075100
COLCHICINE TABLETS,medicine_showdetail.php?sn=A005225100
COLD CAPSULES 'M.T.',medicine_showdetail.php?sn=A005232100
METHYLEPHEDRINE HCL TABLETS 'ASTAR',medicine_showdetail.php?sn=A005247100
PHENOBARBITAL TABLETS 32MG 'VPP',medicine_showdetail.php?sn=A005300100
SATAMOL TABLETS,medicine_showdetail.php?sn=A005305100
HICONCIL CAPSULES 5,medicine_showdetail.php?sn=A005353100
HICONCIL CAPSULES 2,medicine_showdetail.php?sn=A005354100
SHUTON CAPSULES 'N.W.',medicine_showdetail.php?sn=A005381100
MEDISOL TABLETS 15M,medicine_showdetail.php?sn=A005412100
PARAFLEX CAPSULES 5,medicine_showdetail.php?sn=A005445100
PARAFLEX CAPSULES 2,medicine_showdetail.php?sn=A005446100
GLARE CAPSULES 'F.Y.',medicine_showdetail.php?sn=A005508100
CAFETON TABLETS 'NW',medicine_showdetail.php?sn=A005691100
BROWN MIXTURE TABLE,medicine_showdetail.php?sn=A005708100
DIPROPHYLLIN TABLET,medicine_showdetail.php?sn=A005712100
SWECON TABLETS Y.S,medicine_showdetail.php?sn=A005721100
MEDISOL CAPSULES 30,medicine_showdetail.php?sn=A005749100
CHIERHSIN TABLETS H.H.P.,medicine_showdetail.php?sn=A005757100
FUSTON TABLETS 100M,medicine_showdetail.php?sn=A005789100
LONFLEX CAPSULES U,medicine_showdetail.php?sn=A005807100
STROCAIN TABLETS,medicine_showdetail.php?sn=A005811100
HOMOCLOMIN TABLETS,medicine_showdetail.php?sn=A005812100
SOLAXIN TABLETS,medicine_showdetail.php?sn=A005813100
TANCOSIL TABLETS 20,medicine_showdetail.php?sn=A005833100
TABELLAE CODEINAE PHOSPHATIS 15 MG,medicine_showdetail.php?sn=A005857100
TABELLAE PETHIDINAE HYDROCHLORIDI 50 MG,medicine_showdetail.php?sn=A005858100
TABELLAE CODEINAE PHOSPHATIS 30 MG,medicine_showdetail.php?sn=A005865100
MERISLON TABLETS 6M,medicine_showdetail.php?sn=A005925100
COSPANON CAPSULES,medicine_showdetail.php?sn=A005954100
INOLIN TABLETS 3MG,medicine_showdetail.php?sn=A005987100
PONSTAL CAPSULES,medicine_showdetail.php?sn=A006006100
PITHATE TABLETS,medicine_showdetail.php?sn=A006087100
MATALMIN TABLETS,medicine_showdetail.php?sn=A006232100
FUCOLE PARAN TABLETS,medicine_showdetail.php?sn=A006271100
BUSTON S.C. TABLETS,medicine_showdetail.php?sn=A006344100
ALUMINUM HYDROXIDE,medicine_showdetail.php?sn=A006553100
ZITHINE TABLETS,medicine_showdetail.php?sn=A006618100
CEPHALEXIN CAPSULES,medicine_showdetail.php?sn=A006747100
MAGNESIUM OXIDE TAB,medicine_showdetail.php?sn=A006795100
AMINOPHYLLINE TABLE,medicine_showdetail.php?sn=A006827100
RIRITON S.C. TABLETS,medicine_showdetail.php?sn=A006987100
CHLORZOXAZONE TABLETS 'VPP',medicine_showdetail.php?sn=A007140100
OXAPAM TABLETS,medicine_showdetail.php?sn=A007157100
PRANOL TABLETS 20MG JOHNSON,medicine_showdetail.php?sn=A007175100
DOXYCYCLINE CAPSULE,medicine_showdetail.php?sn=A007233100
PROCID TABLETS,medicine_showdetail.php?sn=A007256100
MAGNESIUM HYDROXIDE,medicine_showdetail.php?sn=A007374100
PAMOXICILLIN CAPSUL,medicine_showdetail.php?sn=A007396100
INDOMETHACIN CAPSULES 'SHOU CHAN',medicine_showdetail.php?sn=A007475100
FOLIC ACID TABLETS 'RSPP',medicine_showdetail.php?sn=A007543100
DELCOPAN TABLETS 30,medicine_showdetail.php?sn=A007641100
GASCON TABLETS SHO,medicine_showdetail.php?sn=A007748100
DELAX TABLETS 'SHOU CHAN',medicine_showdetail.php?sn=A007749100
SULFAPRIME TABLETS,medicine_showdetail.php?sn=A007792100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A007822100
RIKAPARIN CAPSULES,medicine_showdetail.php?sn=A007976100
MESIN ENTERIC COATED TABLETS,medicine_showdetail.php?sn=A008052100
MINOCIN CAPSULES 50MG,medicine_showdetail.php?sn=A008262100
GASLAN TABLETS CHI,medicine_showdetail.php?sn=A008355100
ASPARA-K TABLETS,medicine_showdetail.php?sn=A008472100
VITAMINE-B6 TABLETS,medicine_showdetail.php?sn=A008504100
DACOCILIN CAPSULES,medicine_showdetail.php?sn=A008510100
VALEMATE S.C. TABLETS 10MG,medicine_showdetail.php?sn=A008519100
SZULEN S.C. TABLETS,medicine_showdetail.php?sn=A008526100
TONPHEN TABLETS,medicine_showdetail.php?sn=A008541100
WEISUDIN TABLETS 'HONTEN',medicine_showdetail.php?sn=A008632100
SENFIHU TABLETS,medicine_showdetail.php?sn=A008662100
CHIAOWELGEN S.C. TA,medicine_showdetail.php?sn=A008663100
PRENIN TABLETS,medicine_showdetail.php?sn=A008715100
TRAMEZIN TABLETS 'HONTEN',medicine_showdetail.php?sn=A008753100
BASED TABLETS 'CURIE',medicine_showdetail.php?sn=A008757100
ALUMIGEL GREEN TABL,medicine_showdetail.php?sn=A008759100
PONSTAN F.C. TABLETS,medicine_showdetail.php?sn=A008774100
CHEMIX TABLETS YUN,medicine_showdetail.php?sn=A008855100
PARACETAMOL TABLETS 'KINGDOM',medicine_showdetail.php?sn=A008870100
WINTYL TABLETS 'WINSTON',medicine_showdetail.php?sn=A008896100
ASVERIN TABLETS 10M,medicine_showdetail.php?sn=A008905100
ASVERIN TABLETS 20M,medicine_showdetail.php?sn=A008907100
BISCO TABLETS 8MG,medicine_showdetail.php?sn=A009038100
PROPRANOLOL TABLETS 10MG,medicine_showdetail.php?sn=A009102100
BROMINE TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A009106100
POINSTAN CAPSULES,medicine_showdetail.php?sn=A009138100
ALUDENE TABLETS,medicine_showdetail.php?sn=A009211100
VICOMP S.C. TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A009275100
EUCLIDAN TABLETS 50MG,medicine_showdetail.php?sn=A009291100
TONIKER TABLETS 500MG,medicine_showdetail.php?sn=A009296100
LIGILIN CAPSULES,medicine_showdetail.php?sn=A009299100
ALUMINUM GEL TABLET,medicine_showdetail.php?sn=A009331100
FUZUIN S.C. TABLETS,medicine_showdetail.php?sn=A009334100
AETHOCAF CAPSULES,medicine_showdetail.php?sn=A009367100
BISACODYL S.C. TABL,medicine_showdetail.php?sn=A009369100
CEPHANMYCIN CAPSULE,medicine_showdetail.php?sn=A009453100
RAMIN CAPSULES 25MG,medicine_showdetail.php?sn=A009480100
WALIN TABLETS 2MG,medicine_showdetail.php?sn=A009496100
EGOTAN S.C. TABLETS 'WINSTON',medicine_showdetail.php?sn=A009514100
OUTERDZEN S.C. TABLETS 'CHINTENG',medicine_showdetail.php?sn=A009570100
FROTIN ENTERIC SUGA,medicine_showdetail.php?sn=A009587100
AMPICILLIN CAPSULES,medicine_showdetail.php?sn=A009609100
GLANEGA TABLETS ME,medicine_showdetail.php?sn=A009616100
CHANPON TABLETS 'Y.C.',medicine_showdetail.php?sn=A009638100
DOXYMYCIN CAPSULES,medicine_showdetail.php?sn=A009654100
PUKAMIN TABLETS 'CHINTENG',medicine_showdetail.php?sn=A009691100
MEFEINE TABLETS,medicine_showdetail.php?sn=A009722100
BENTYL TABLETS 10MG,medicine_showdetail.php?sn=A009792100
DEXAN TABLETS 'H.H.',medicine_showdetail.php?sn=A009916100
VITA-LONG S.C. TABLETS 'WINSTON',medicine_showdetail.php?sn=A009927100
WINPICILLIN CAPSULE,medicine_showdetail.php?sn=A009941100
MUSCLO TABLETS,medicine_showdetail.php?sn=A009945100
KOSPANONE CAPSULES 'YU SHENG',medicine_showdetail.php?sn=A009963100
CONICINE TABLETS 'H.H.',medicine_showdetail.php?sn=A009987100
WELLPIN TWO LAYER T,medicine_showdetail.php?sn=A010070100
WINMOX CAPSULES WI,medicine_showdetail.php?sn=A010162100
DECAN TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A010168100
WINLEX CAPSULES WI,medicine_showdetail.php?sn=A010194100
WINLERIL S.C. TABLETS 'WINSTON',medicine_showdetail.php?sn=A010195100
FUZINLIN CAPSULES 'C.S.',medicine_showdetail.php?sn=A010204100
BRONCOMINE TABLETS 'HONTEN',medicine_showdetail.php?sn=A010211100
NITROFURANTOIN E.C.,medicine_showdetail.php?sn=A010246100
COOCHIL TABLETS 'CHINTENG',medicine_showdetail.php?sn=A010248100
BACIDE TABLETS VPP,medicine_showdetail.php?sn=A010282100
CINDERAL TABLETS PATRON,medicine_showdetail.php?sn=A010332100
TONTYL TABLETS 'PATRON',medicine_showdetail.php?sn=A010334100
HERBESSER TABLETS,medicine_showdetail.php?sn=A010358100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A010365100
THIAMPHENICOL CAPSU,medicine_showdetail.php?sn=A010392100
TRAN TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A010395100
CALITH CAPSULES 'PATRON',medicine_showdetail.php?sn=A010431100
HUASWEI TABLETS H.,medicine_showdetail.php?sn=A010487100
SUMIN TABLETS 0.5MG BETAMETHASONE 'F.S.',medicine_showdetail.php?sn=A010510100
WINLEX CAPSULES 250,medicine_showdetail.php?sn=A010625100
PARAFLU CAPSULES 'PANBIOTIC',medicine_showdetail.php?sn=A010648100
ACETANIN TABLETS 'HONTEN',medicine_showdetail.php?sn=A010683100
SERNVITA S.C. TABLETS 50MG 'CHINTENG',medicine_showdetail.php?sn=A010710100
PECTRIN S.C. TABLETS 25MG,medicine_showdetail.php?sn=A010802100
SUPERCILLIN CAPSULE,medicine_showdetail.php?sn=A010819100
GREEN TABLETS YUNG,medicine_showdetail.php?sn=A010826100
MEBRON FILM COATING TABLETS 100MG,medicine_showdetail.php?sn=A010916100
BEHYD TABLETS,medicine_showdetail.php?sn=A010917100
DIARRIKE TABLETS P,medicine_showdetail.php?sn=A011007100
SKETA CAPSULES 'PATRON',medicine_showdetail.php?sn=A011012100
ANTICOLD CAPSULES,medicine_showdetail.php?sn=A011013100
KOAN-I TABLETS,medicine_showdetail.php?sn=A011063100
CHAN-WAE TABLETS 'P.L.',medicine_showdetail.php?sn=A011076100
NORSON TABLETS 'HONTEN',medicine_showdetail.php?sn=A011084100
DOXYNIN CAPSULES S,medicine_showdetail.php?sn=A011224100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A011344100
COWEITHELINE TABLET,medicine_showdetail.php?sn=A011407100
NOOPOL CAPSULES N.,medicine_showdetail.php?sn=A011421100
PEMIN TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A011478100
PEIWETSU TABLETS P,medicine_showdetail.php?sn=A011701100
MINXLN TABLETS,medicine_showdetail.php?sn=A011706100
PINRU TABLETS,medicine_showdetail.php?sn=A011863100
OUCEMIN TABLETS 'Y.Y.',medicine_showdetail.php?sn=A011898100
COMIN F.C.TABLETS,medicine_showdetail.php?sn=A011928100
CEPHALEXIN CAP.,medicine_showdetail.php?sn=A011951100
PINSU TABLETS,medicine_showdetail.php?sn=A011969100
TRIANPRES S.C. TABLETS N.C.P.,medicine_showdetail.php?sn=A012000100
SONVITA F.C. TABLETS 'CHINTENG',medicine_showdetail.php?sn=A012004100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A012051100
SPIRON TABLETS,medicine_showdetail.php?sn=A012081100
BUSCIN TABLETS 'C.R.',medicine_showdetail.php?sn=A012343100
COLIOPAN TABLETS,medicine_showdetail.php?sn=A012414100
EURODIN TABLETS 2MG,medicine_showdetail.php?sn=A012458100
MINRID TABLETS 'H.H.',medicine_showdetail.php?sn=A012524100
GYNEDOL TABLETS 1MG,medicine_showdetail.php?sn=A012646100
ULCEN TABLETS MEID,medicine_showdetail.php?sn=A012694100
SINPRIM F.C. TABLET,medicine_showdetail.php?sn=A012703100
SUPITON TABLETS 'S.C.',medicine_showdetail.php?sn=A012804100
OUTINFLAME TABLETS 'H.H.',medicine_showdetail.php?sn=A012807100
NITROGLYCERIN TABLETS 0.6 MG NYSCO,medicine_showdetail.php?sn=A012825100
ALUZAINE TABLETS,medicine_showdetail.php?sn=A012828100
MEFEN TABLETS 'CHINTENG',medicine_showdetail.php?sn=A012831100
PYMADON TABLETS 'CHINTENG',medicine_showdetail.php?sn=A012833100
BIOTASE TABLETS YU,medicine_showdetail.php?sn=A012876100
COUGHMIN S.C. TABLETS 'KYORIN',medicine_showdetail.php?sn=A012880100
HOMAGAL TABLETS,medicine_showdetail.php?sn=A012972100
SALTOLIN TABLETS 'GENTLE',medicine_showdetail.php?sn=A012975100
QURMININ-H CAPSULES 'S.C.',medicine_showdetail.php?sn=A013054100
SALBUTAMOL TABLETS,medicine_showdetail.php?sn=A013089100
MEPENZOLATE TABLETS 'S.C.',medicine_showdetail.php?sn=A013091100
PIPRINHYDRINATE TABLETS 'H.C.',medicine_showdetail.php?sn=A013126100
GLYCERYL TABLETS Y,medicine_showdetail.php?sn=A013133100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A013229100
FUCOLE IBUPROFEN CAPSULES,medicine_showdetail.php?sn=A013230100
MEFENAMIC ACID CAPSULES 'C.H.',medicine_showdetail.php?sn=A013361100
MAGNESIUM OXIDE TAB,medicine_showdetail.php?sn=A013382100
NEUZYM TABLETS 30MG,medicine_showdetail.php?sn=A013429100
TONPICON CAPSULES 'S.T.',medicine_showdetail.php?sn=A013557100
IBUPROFEN CAPSULES 'HONTEN',medicine_showdetail.php?sn=A013612100
RIFAMPICIN CAPSULES 'YUNG SHIN',medicine_showdetail.php?sn=A013627100
DIPYRIDAMOLE S.C. TABLETS YUNG SHIN,medicine_showdetail.php?sn=A013634100
ACETAMINOPHEN TABLETS 500MG 'MEIDER',medicine_showdetail.php?sn=A013666100
CHLORZOXAZONE TABLETS 'PFOSHEN',medicine_showdetail.php?sn=A013723100
WILCON U TABLETS C,medicine_showdetail.php?sn=A013800100
DIPYRIDAMOLE S.C. TABLETS STANDARD,medicine_showdetail.php?sn=A013801100
NALIDIXIC ACID TABL,medicine_showdetail.php?sn=A013900100
PYRIDOXINE HCL TABLETS 50MG 'C.I.',medicine_showdetail.php?sn=A013979100
KENTAMIN CAPSULES,medicine_showdetail.php?sn=A014025100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A014102100
SPAGASTROL TABLETS,medicine_showdetail.php?sn=A014108100
ALLOPURINOL TABLETS 'STANDARD',medicine_showdetail.php?sn=A014154100
PREDNISOLONE TABLETS 'WINSTON',medicine_showdetail.php?sn=A014184100
DEXTROMETHORPHAN TA,medicine_showdetail.php?sn=A014185100
D.A.A. TABLETS F.Y,medicine_showdetail.php?sn=A014195100
BETAMETHASONE TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A014227100
ALLOPURINOL TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A014228100
SAUSCON TABLETS OR,medicine_showdetail.php?sn=A014277100
BROMELAIN ENTERIC S,medicine_showdetail.php?sn=A014447100
COUGH CAPSULES PAT,medicine_showdetail.php?sn=A014449100
CODEVERINE TABLETS,medicine_showdetail.php?sn=A014452100
ACETAMINOPHEN TABLETS 'JINUP',medicine_showdetail.php?sn=A014749100
FULUCON TABLETS 'S.T.',medicine_showdetail.php?sn=A014845100
CHLORZOXAZONE TABLETS 'WINSTON',medicine_showdetail.php?sn=A014930100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A014932100
GUAIAZULENE SODIUM,medicine_showdetail.php?sn=A015021100
METHYLSCOPOLAMINE METHYLSULFATE TABLETS 'P.L.,medicine_showdetail.php?sn=A015024100
PSEUDOEPHEDRINE TAB,medicine_showdetail.php?sn=A015033100
KETOFEN CAPSULES 'H.H.',medicine_showdetail.php?sn=A015041100
DIPHENIDOL S.C. TAB,medicine_showdetail.php?sn=A015078100
PSEUDOEPHEDRINE HCL,medicine_showdetail.php?sn=A015090100
NARCARICIN CAPSULES BENZBROMARONE,medicine_showdetail.php?sn=A015195100
PYRININ TABLETS 'GENTLE',medicine_showdetail.php?sn=A015199100
STOMACHIC TABLETS,medicine_showdetail.php?sn=A015242100
AMPICILLIN CAPSULES,medicine_showdetail.php?sn=A015285100
BROMHEXINE TABLETS,medicine_showdetail.php?sn=A015344100
ACETAMINOPHEN TABLETS 500MG 'F.Y.',medicine_showdetail.php?sn=A015346100
DIPHENIDOL S.C. TAB,medicine_showdetail.php?sn=A015368100
NAPOSIN TABLETS NAPROXEN250MG,medicine_showdetail.php?sn=A015387100
ASTOMIN S.C. TABLET,medicine_showdetail.php?sn=A015398100
RELAZIDE S.C. TABLETS STANDARD,medicine_showdetail.php?sn=A015422100
NORSECON TABLETS 'CHINTENG',medicine_showdetail.php?sn=A015540100
PEICHIA TABLETS P.,medicine_showdetail.php?sn=A015543100
STROVITAN S.C. TABLETS,medicine_showdetail.php?sn=A015566100
APAP TABLETS 500MG,medicine_showdetail.php?sn=A015596100
MYLANLO TABLETS ME,medicine_showdetail.php?sn=A015605100
CEPHALEXIN CAPSULES S.T.,medicine_showdetail.php?sn=A015660100
SESDEN CAPSULES TIMEPIDIUM,medicine_showdetail.php?sn=A015674100
BIONAMIN-H TABLETS 'C.Y.',medicine_showdetail.php?sn=A015722100
SUPERGEL TABLETS S,medicine_showdetail.php?sn=A015736100
COLD CAPSULES,medicine_showdetail.php?sn=A015740100
TETRACYCLINE HCL CA,medicine_showdetail.php?sn=A015791100
PYRAZINAMIDE TABLETS 'CYC',medicine_showdetail.php?sn=A015837100
PIPRINHYDRINATE TABLETS 'P.L.',medicine_showdetail.php?sn=A015910100
POKITON TABLETS 'Y.C.',medicine_showdetail.php?sn=A015916100
PANATOL TABLETS 'M.T.',medicine_showdetail.php?sn=A015992100
PANATOL TABLETS 'M.T.',medicine_showdetail.php?sn=A015992100
BROMHEXINE TABLETS,medicine_showdetail.php?sn=A016009100
ACETAMINOPHEN TABLETS 'C.I.',medicine_showdetail.php?sn=A016093100
CLOXAMPICIN CAPSULE,medicine_showdetail.php?sn=A016099100
STREPMAGEN TABLETS 'F.Y.',medicine_showdetail.php?sn=A016131100
BROMHEXINE TABLETS,medicine_showdetail.php?sn=A016143100
DEXTROMETHORPHAN TA,medicine_showdetail.php?sn=A016195100
ACETAMINOPHEN TABLETS 'J.S.',medicine_showdetail.php?sn=A016220100
CASCARA S.C. TABLET,medicine_showdetail.php?sn=A016318100
HOWEI TABLETS DIHY,medicine_showdetail.php?sn=A016322100
RHIN TABLETS 'GCPC',medicine_showdetail.php?sn=A016348100
CHANWEILEN TABLETS,medicine_showdetail.php?sn=A016409100
ANTON TABLETS,medicine_showdetail.php?sn=A016432100
PRINATE TABLETS 'CHINTENG' PIPRINHYDRINATE,medicine_showdetail.php?sn=A016444100
PRINATE TABLETS 'CHINTENG' PIPRINHYDRINATE,medicine_showdetail.php?sn=A016444100
BROMHEXINE HCL TABL,medicine_showdetail.php?sn=A016446100
CEPHENDOL S.C. TABL,medicine_showdetail.php?sn=A016449100
CEPHALEXIN CAPSULES,medicine_showdetail.php?sn=A016474100
PSUBITY TABLETS 'S.T.',medicine_showdetail.php?sn=A016489100
IPUTON TABLETS IBUPROFEN,medicine_showdetail.php?sn=A016679100
ULEX CAPSULES CEPH,medicine_showdetail.php?sn=A016706100
ANTISEMIN TABLETS CYPROHEPTADINE,medicine_showdetail.php?sn=A016712100
UPVENA TABLETS 4MG CARBINOXAMINE'JINUP',medicine_showdetail.php?sn=A016829100
METOCLOPRAMIDE S.C.,medicine_showdetail.php?sn=A016938100
ERGONOVINE MALEATE TABLETS 'S.H.',medicine_showdetail.php?sn=A016941100
CONAMIN TABLETS 'GENTLE',medicine_showdetail.php?sn=A016969100
WISH TABLETS,medicine_showdetail.php?sn=A017143100
CYPROHEPTADINE HCL TABLETS 'SHINLON',medicine_showdetail.php?sn=A017153100
CHLOZON TABLETS CHLORZOXAZONE 'C.I.',medicine_showdetail.php?sn=A017179100
GLYCYRRIZINE & OPIU,medicine_showdetail.php?sn=A017203100
SHOUENLIN TABLETS IBUPROFEN'Y.Y.',medicine_showdetail.php?sn=A017205100
COMAKIN CAPSULES 'F.S.',medicine_showdetail.php?sn=A017299100
COUGHXIN TABLET 8MG,medicine_showdetail.php?sn=A017302100
DEXTROMETHORPHAN TA,medicine_showdetail.php?sn=A017328100
MEFENAMIC ACID CAPSULES 'WINSTON',medicine_showdetail.php?sn=A017331100
